timestamp,base_model,lora_model,metric,num_samples,temperature,num_beams,top_p,do_sample,max_new_tokens,num_problems,score,duration_minutes,samples_file,summary_file,config_description
20250303042119,codellama/CodeLlama-7b-hf,20250301_01_alpha16_dropout0.05_r8,pass@1,1,0.25,8,0.9,True,256,164,32.32,120.65,20250303022020_generated_samples.jsonl,20250303022020_results_summary.txt,R16 with Repetition Penalty (1.1)
20250303050741,codellama/CodeLlama-7b-hf,20250301_01_alpha16_dropout0.05_r8,pass@1,1,0.2,8,0.9,True,384,164,32.93,181.29,20250303020605_generated_samples.jsonl,20250303020605_results_summary.txt,Extended Generation (384 tokens)
20250303051137,codellama/CodeLlama-7b-hf,20250301_01_alpha16_dropout0.05_r8,pass@1,1,1.0,10,1.0,False,256,164,34.15,121.11,20250303031013_generated_samples.jsonl,20250303031013_results_summary.txt,Hybrid Beam-Greedy with Length Penalty
20250303060846,codellama/CodeLlama-7b-hf,20250301_01_alpha16_dropout0.05_r8,pass@1,1,0.2,8,0.92,True,256,164,32.32,120.85,20250303040739_generated_samples.jsonl,20250303040739_results_summary.txt,Precision Focus with Top-K (40)
20250303062623,codellama/CodeLlama-7b-hf,20250301_02_alpha16_dropout0.0_r8_lr0.0002_epochs3,pass@1,1,0.25,10,0.9,True,256,164,32.93,124.69,20250303042124_generated_samples.jsonl,20250303042124_results_summary.txt,No Dropout Model with High Beam (10)
20250303070226,codellama/CodeLlama-7b-hf,20250301_01_alpha32_dropout0.05_r8_lr0.0002_epochs3,pass@1,1,0.25,8,0.9,True,256,164,28.05,114.36,20250303050747_generated_samples.jsonl,20250303050747_results_summary.txt,Alpha-32 Model with Optimal Parameters
20250303091650,codellama/CodeLlama-7b-hf,20250301_05_alpha16_dropout0.05_r8_lr0.0002_epochs3,pass@1,1,0.22,10,0.92,True,256,164,33.54,128.68,20250303070750_generated_samples.jsonl,20250303070750_results_summary.txt,Extended model - Balanced params
20250303091707,codellama/CodeLlama-7b-hf,20250301_psz_alpha16_dropout0.05_r32_lr0.0002_epochs3,pass@1,1,0.2,10,0.9,True,256,164,32.93,129.17,20250303070738_generated_samples.jsonl,20250303070738_results_summary.txt,R32 model - Balanced beam + low temp
20250303091737,codellama/CodeLlama-7b-hf,20250301_04_alpha16_dropout0.05_r8_lr0.0002_epochs3,pass@1,1,0.2,10,0.95,True,256,164,34.76,129.94,20250303070723_generated_samples.jsonl,20250303070723_results_summary.txt,QKV model - High beam + low temp
20250303092016,codellama/CodeLlama-7b-hf,20250301_03_alpha16_dropout0.05_r8_lr0.0002_epochs3,pass@1,1,0.2,12,0.92,True,256,164,39.02,132.86,20250303070703_generated_samples.jsonl,20250303070703_results_summary.txt,QKVO model - High beam (12) + low temp (0.2)
20250303112209,codellama/CodeLlama-7b-hf,20250301_psz_alpha16_dropout0.05_r32_lr0.0002_epochs3,pass@1,1,1.0,8,0.9,False,256,164,32.93,124.68,20250303091712_generated_samples.jsonl,20250303091712_results_summary.txt,R32 model - Pure greedy
20250303112645,codellama/CodeLlama-7b-hf,20250301_05_alpha16_dropout0.05_r8_lr0.0002_epochs3,pass@1,1,1.0,12,0.9,False,256,164,35.37,129.56,20250303091655_generated_samples.jsonl,20250303091655_results_summary.txt,Extended model - Greedy with length penalty
20250303112851,codellama/CodeLlama-7b-hf,20250301_04_alpha16_dropout0.05_r8_lr0.0002_epochs3,pass@1,1,1.0,12,0.9,False,256,164,33.54,130.87,20250303091743_generated_samples.jsonl,20250303091743_results_summary.txt,QKV model - Pure greedy with high beam
20250303113025,codellama/CodeLlama-7b-hf,20250301_03_alpha16_dropout0.05_r8_lr0.0002_epochs3,pass@1,1,1.0,10,0.9,False,256,164,38.65,129.70,20250303092021_generated_samples.jsonl,20250303092021_results_summary.txt,QKVO model - Greedy with length penalty
20250303132607,codellama/CodeLlama-7b-hf,20250301_05_alpha16_dropout0.05_r8_lr0.0002_epochs3,pass@1,1,0.15,8,0.9,True,256,164,34.15,119.00,20250303112651_generated_samples.jsonl,20250303112651_results_summary.txt,Extended model - Very low temp + repetition
20250303132716,codellama/CodeLlama-7b-hf,20250301_psz_alpha16_dropout0.05_r32_lr0.0002_epochs3,pass@1,1,0.15,12,0.95,True,256,164,30.49,124.75,20250303112215_generated_samples.jsonl,20250303112215_results_summary.txt,R32 model - High beam + repetition penalty
20250303133204,codellama/CodeLlama-7b-hf,20250301_04_alpha16_dropout0.05_r8_lr0.0002_epochs3,pass@1,1,0.18,8,0.92,True,256,164,35.37,122.85,20250303112856_generated_samples.jsonl,20250303112856_results_summary.txt,QKV model - Early stopping + optimal params
20250303133408,codellama/CodeLlama-7b-hf,20250301_03_alpha16_dropout0.05_r8_lr0.0002_epochs3,pass@1,1,0.15,8,0.9,True,256,164,40.49,123.27,20250303113030_generated_samples.jsonl,20250303113030_results_summary.txt,QKVO model - Very low temp + repetition penalty
20250303173849,codellama/CodeLlama-7b-hf,20250301_05_alpha16_dropout0.05_r8_lr0.0002_epochs3,pass@1,1,0.2,15,0.9,True,384,164,33.54,252.33,20250303132613_generated_samples.jsonl,20250303132613_results_summary.txt,Extended model - Ultra high beam + more tokens
20250303174145,codellama/CodeLlama-7b-hf,20250301_psz_alpha16_dropout0.05_r32_lr0.0002_epochs3,pass@1,1,0.25,15,0.9,True,384,164,31.71,254.12,20250303132722_generated_samples.jsonl,20250303132722_results_summary.txt,R32 model - Ultra high beam + extended tokens
20250303174635,codellama/CodeLlama-7b-hf,20250301_04_alpha16_dropout0.05_r8_lr0.0002_epochs3,pass@1,1,0.22,15,0.9,True,384,164,31.10,254.16,20250303133209_generated_samples.jsonl,20250303133209_results_summary.txt,QKV model - Ultra high beam + more tokens
20250303194621,codellama/CodeLlama-7b-hf,20250301_05_alpha16_dropout0.05_r8_lr0.0002_epochs3,pass@1,1,0.25,10,0.9,True,256,164,33.54,127.15,20250303173855_generated_samples.jsonl,20250303173855_results_summary.txt,Extended model - Top-k + diversity
20250303194856,codellama/CodeLlama-7b-hf,20250301_psz_alpha16_dropout0.05_r32_lr0.0002_epochs3,pass@1,1,0.18,10,0.9,True,256,164,34.15,126.82,20250303174150_generated_samples.jsonl,20250303174150_results_summary.txt,R32 model - Top-k + no_repeat_ngram
20250303195236,codellama/CodeLlama-7b-hf,20250301_04_alpha16_dropout0.05_r8_lr0.0002_epochs3,pass@1,1,0.15,9,0.9,True,256,164,35.98,125.65,20250303174641_generated_samples.jsonl,20250303174641_results_summary.txt,QKV model - Diversity penalty
